,fit_time,Prediction_time,pipline
0,1.7132806587219238,0.003330793380737305,Arima
1,3.3255919933319094,0.0043089199066162105,Arima
2,1.2583719062805176,0.00346003532409668,Arima
3,0.5033388710021973,0.001546649932861328,Arima
4,0.9497098541259765,0.003185291290283203,Arima
5,2.1476333332061768,0.00412419319152832,Arima
6,1.243541316986084,0.0032325077056884768,Arima
7,1.9264053630828857,0.004890375137329102,Arima
8,0.6229221534729004,0.0015096664428710938,Arima
9,0.7938701629638671,0.0021731376647949217,Arima
10,1.1007671737670899,0.0034842300415039063,Arima
11,1.5434263134002686,0.003950128555297852,Arima
12,1.2363767051696777,0.003208494186401367,Arima
13,2.9508839225769044,0.0040369129180908205,Arima
14,0.7523034954071045,0.0016355609893798828,Arima
15,1.2980569648742675,0.0021266937255859375,Arima
16,0.9698953914642334,0.0036688327789306642,Arima
17,0.8301662158966064,0.0034768009185791016,Arima
18,0.8890503406524658,0.0032950878143310548,Arima
19,0.8481697368621827,0.003493518829345703,Arima
20,0.8733025741577148,0.0035264110565185547,Arima
21,0.8706652641296386,0.002792024612426758,Arima
22,3.372709560394287,0.003978309631347657,Arima
23,0.3610544204711914,0.001738290786743164,Arima
24,0.6258530330657959,0.0016065597534179687,Arima
25,0.6755908584594726,0.00155670166015625,Arima
26,2.728899507522583,0.003965206146240234,Arima
27,1.2704098987579346,0.002498922348022461,Arima
28,1.618425121307373,0.004546709060668945,Arima
29,1.0722429370880127,0.0035628318786621095,Arima
30,0.8981855487823487,0.0030879974365234375,Arima
31,0.39312106132507324,0.0017525959014892578,Arima
32,0.8048231506347656,0.0017430496215820313,Arima
33,1.2838919258117676,0.001996622085571289,Arima
