,pipline,fit_time,prediction_time
0,Bayesian_lstm,1.9740482807159423,0.19552915096282958
1,Bayesian_lstm,1.8212799787521363,0.1584784746170044
2,Bayesian_lstm,1.849311637878418,0.1873948574066162
3,Bayesian_lstm,1.8167919874191285,0.2025827646255493
4,Bayesian_lstm,1.833574104309082,0.18106980323791505
5,Bayesian_lstm,1.7680010557174684,0.18183465003967286
6,Bayesian_lstm,1.7389740228652955,0.18452155590057373
7,Bayesian_lstm,1.7977752447128297,0.20735909938812255
8,Bayesian_lstm,1.8829490423202515,0.183029842376709
9,Bayesian_lstm,1.7574365377426147,0.18429906368255616
10,Bayesian_lstm,1.8389145374298095,0.18654227256774902
11,Bayesian_lstm,1.7753132820129394,0.19731998443603516
12,Bayesian_lstm,1.8225778579711913,0.20679748058319092
13,Bayesian_lstm,1.791974711418152,0.19045965671539306
14,Bayesian_lstm,1.6864357709884643,0.18272321224212645
15,Bayesian_lstm,1.6395936489105225,0.16407716274261475
16,Bayesian_lstm,1.5162720203399658,0.16030845642089844
17,Bayesian_lstm,1.5891881704330444,0.15359814167022706
18,Bayesian_lstm,2.860579085350037,0.25002281665802
19,Bayesian_lstm,1.5759666681289672,0.1547316789627075
20,Bayesian_lstm,1.5766451597213744,0.15765855312347413
21,Bayesian_lstm,1.7328214645385742,0.18645906448364258
22,Bayesian_lstm,1.831171488761902,0.17075226306915284
23,Bayesian_lstm,1.5788808584213256,0.15810294151306153
24,Bayesian_lstm,1.6139581680297852,0.15646953582763673
25,Bayesian_lstm,1.5797231674194336,0.15413858890533447
26,Bayesian_lstm,1.8239485263824462,0.17080652713775635
27,Bayesian_lstm,0.18478600978851317,0.15624735355377198
28,Bayesian_lstm,1.4718936443328858,0.16171932220458984
29,Bayesian_lstm,1.4891463279724122,0.17733428478240967
30,Bayesian_lstm,1.724869704246521,0.1781407594680786
31,Bayesian_lstm,0.42423694133758544,0.10520219802856445
32,Bayesian_lstm,1.8174539089202881,0.1729576349258423
33,Bayesian_lstm,0.9276885986328125,0.15536894798278808
34,Bayesian_lstm,0.46682546138763426,0.193756628036499
