training_time,testing_time,pipline
6.897064948081971,10.090728998184204,MCD
6.601995134353638,9.417966604232788,MCD
6.737910223007202,9.685574531555176,MCD
7.1245356798172,9.780573606491089,MCD
6.850185751914978,9.737831592559814,MCD
6.7799783706665036,9.690881729125977,MCD
6.743541884422302,9.677714347839355,MCD
6.745544195175171,9.759796857833862,MCD
6.417531991004944,9.687893152236938,MCD
6.697757863998413,9.739881038665771,MCD
6.757673859596252,9.736378908157349,MCD
6.766276812553405,9.78179669380188,MCD
6.727509689331055,9.808518886566162,MCD
6.709314584732056,9.796219825744629,MCD
6.728540372848511,9.82166838645935,MCD
6.691971611976624,9.728612422943115,MCD
6.624956226348877,9.846444129943848,MCD
6.514375853538513,9.773677587509155,MCD
7.802954792976379,9.847347259521484,MCD
6.741809821128845,9.976873397827148,MCD
6.736813020706177,9.834594249725342,MCD
6.613885426521302,9.829424381256104,MCD
6.165101027488708,9.329600811004639,MCD
6.366401743888855,9.802282094955444,MCD
6.207165241241455,9.302444219589233,MCD
7.631738328933716,12.013224601745605,MCD
5.753756499290466,9.144171237945557,MCD
5.985241007804871,11.842048645019531,MCD
5.974743509292603,9.261291027069092,MCD
5.963274359703064,9.165087699890137,MCD
6.649769830703735,9.356263875961304,MCD
6.0475172996521,9.15072512626648,MCD
6.061868572235108,9.27450680732727,MCD
6.659236240386963,9.472631216049194,MCD
6.626238298416138,9.799970626831055,MCD
6.109665942192078,9.333101987838745,MCD
6.016767382621765,9.31268310546875,MCD
6.643566346168518,9.576295614242554,MCD
5.924996447563172,9.362394094467163,MCD
6.695476078987122,9.444635391235352,MCD
7.516885280609131,9.155372619628906,MCD
0.7029883384704589,9.22169041633606,MCD
5.601249480247498,9.317783117294312,MCD
6.695672631263733,9.383204936981201,MCD
5.653577041625977,9.519837617874146,MCD
6.644914031028748,9.31888461112976,MCD
6.674104833602906,9.193315744400024,MCD
1.6001363754272462,9.460611343383789,MCD
1.5961040019989015,8.343021392822266,MCD
6.67477240562439,9.562617301940918,MCD
3.417225980758667,9.816115379333496,MCD
6.544798803329468,9.47753357887268,MCD
1.7534090757369996,9.822604179382324,MCD
1.745449137687683,9.771903991699219,MCD
6.642183017730713,9.412464618682861,MCD
